"date","XLC","XLY","XLP","XLE","XLF","XLV","XLI","XLK","XLB","XLU","XLRE"
2018-07-13,-0.00154677964682692,0.00222318583804837,0.00646769863883767,0.00525878147372572,-0.00443778652836491,0.00183236403374565,0.00516590961016306,-0.00110251186744614,-0.00051230296160254,0.000190218414353183,-0.00332765681528402
2018-07-16,-0.00290596785138897,0.00248374763775372,-0.00475190677070358,-0.0116062703594211,0.0176345947628795,-0.00608275402902514,-0.00407606121814919,-0.00234597366054423,-0.00805533407744541,-0.000951824680930358,-0.00546949613073355
2018-07-17,0.000194190992200305,0.000974036323346805,0.00853667300948446,-0.00398770278595251,0.00109185934863865,0.00551055694060842,0.00394034585797431,0.00743358062952382,0.0129937787218841,-0.000762557607593362,-0.00672567879424513
2018-07-18,-0.0029142705931946,-0.000619500061681766,-0.0081557456390855,0.000665436684942122,0.0158789930801468,0.000800645581921167,0.010924834417529,-0.00164696248809371,-0.00938670061838476,-0.00516075917126768,-0.0036877355243119
2018-07-19,-0.00702851686445749,-0.00230538686731574,0.000571297907508761,0.000266393504202878,-0.0151518558035288,-0.00562053212692692,-0.000402597370914748,-0.00357854397071655,0.00359441907569513,0.00915669915734751,0.00949915552161995
2018-07-20,-0.00333632621668567,-0.00444865555566176,0.0060723485883738,-0.00346586853271802,0.00181609518543269,-0.00195750401956118,-0.00107430820372834,0.000275893160566643,-0.00410873395436306,-0.00705116171735698,-0.00888361318456576
2018-07-23,0.00411982388234433,-0.00107061397889519,-0.00626259594448397,-0.00441632072923426,0.0136938261590016,0.00207240244352036,-0.00619818368777914,0.00508690674235934,-0.00550493609619718,-0.00710067191397012,-0.00277319692319322
2018-07-24,0.00702303147917371,-0.00294987338095565,0.00190191767574177,0.0125285731625087,0.00285912864994486,0.00904603276722771,0.0041814127551163,0.00547062596322778,0.0128547441523654,0.003460553029353,-0.0027806788209368
2018-07-25,0.0071670304434992,0.00731423437715817,0.00757179144515696,0.00830986634801434,0.00213887648346933,0.0126852037378695,0.01509593389064,0.0124698226524633,0.00780332317604993,0.00287510866229068,0.00985209565611544
2018-07-26,-0.0384442152073299,-0.00525735457703291,0.00526587983138027,0.010843189586351,-0.000356043667679717,-0.00281775097474313,0.00766091277700465,-0.0154751930054129,0.00572861802182345,0.0106607491867927,0.00336475182324314
2018-07-27,-0.0191570900128011,-0.00259401611749865,0.00131212660740454,-0.00429706941461383,0.00213538522214085,-0.00724968499631107,0.000131565474892348,-0.0172477156885646,-0.00370299902914439,-0.00322446015667666,-0.00920272957915547
2018-07-30,-0.0158686319716299,-0.00800412358601621,-0.00112457450752013,0.00818810568099959,0.000710756777551502,0.000568230225628241,-0.00991587614345413,-0.0157107592842305,-0.00185672977469675,-0.00609755642022147,-0.000924841065882642
